'a'a'a 啊啊啊
'an'chui 暗锤
'an'chui'da'ren 暗锤打人
'an'chu'xian'sheng 安处先生
'an'cuo 安厝
'an'da'di'ya 安达迪雅
'an'da'luo'si 安达洛斯
'an'dan 黯澹
'an'dan'de'jing'ling'jie'zhi 暗淡的精灵戒指
'an'dan'huan'xiang 暗淡幻象
'an'dan'wu'guang 黯淡无光
'an'dan'wu'guang 暗淡无光
'an'de'er 安德尔
'an'de'fu'te 安德弗特
'an'de'ge'lu'mu 安德格鲁姆
'an'de'hu'zi 安得虎子
'an'de'lei 安德雷
'an'de'li'en'an'wen'fang'zhi'zhe 安德利恩暗纹纺织者
'an'de'li'ya 安德利亚
'an'de'long 安德隆
'an'de'lu 安德鲁
'an'de'lu'ke 安德鲁克
'an'de'lu'si 安德鲁斯
'an'de'ma 安德玛
'an'de'mai 安德麦
'an'de'mai'bang'rou'za'hui 安德麦蚌肉杂烩
'an'de'shou'zi 安得兽子
'an'de'wen 安德温
'an'de'wu'de 安德伍德
'an'di 安蒂
'an'di 安迪
'an'di'en 安迪恩
'an'di'er 安迪尔
'an'di'er'lin 安迪尔林
'an'di'er'lin'zhuang'yuan 安迪尔林庄园
'an'ding'tuan'jie 安定团结
'an'di'si 安迪斯
'an'dong'ni'ao 安东尼奥
'an'dong'ni'ao'si 安东尼奥斯
'an'dong'ni'da'si 安东尼达斯
'an'dong'xiu'shi 安东修士
'an'dou'ming'zheng 暗鬭明争
'an'dou'ming'zheng 暗斗明争
'an'du 安堵
'an'du'chen'cang 暗渡陈仓
'an'du'chen'cang 暗度陈仓
'an'du'jin'zhen 暗度金针
'an'du'lao'xing 案牍劳形
'an'du'le'ye 安堵乐业
'an'du'ni'su'si 安杜尼苏斯
'an'duo'de 安多德
'an'duo'er 安多尔
'an'duo'ge'si 安多葛斯
'an'duo'ha'er 安多哈尔
'an'duo'ha'er'de'shi'jian'lie'xi 安多哈尔的时间裂隙
'an'duo'ha'er'fei'xu 安多哈尔废墟
'an'duo'ha'er'shao'ta 安多哈尔哨塔
'an'duo'luo'fu'zhong'jiang 安多洛夫中将
'an'du'ru'chang 安堵如常
'an'du'ru'gu 案堵如故
'an'du'ru'gu 安堵如故
'an'du'ru'gu 按堵如故
'an'du'yin 安度因
'an'du'yin 安杜因
'an'du'zhi'lao 案牍之劳
'an'fan 暗反
'an'fang 安放
'an'fen 安分
'an'fen'shou'chang 安分守常
'an'fen'shou'ji 安分守己
'an'fen'shou'li 安分守理
'an'fen'shou'ming 安分守命
'an'fen'shou'yi 安分守已
'an'fen'shou'zhuo 安分守拙
'an'fen'sui'shi 安分随时
'an'fen'xun'li 安分循理
'an'fen'zhi'zu 安分知足
'an'fu'dong'wu 安抚动物
'an'fu'long'lei 安抚龙类
'an'fu'xin'ling 安抚心灵
'an'fu'xu'pin 安富恤贫
'an'fu'xu'qiong 安富恤穷
'an'fu'zhi'wen 安抚之吻
'an'fu'zhi'zhi 暗缚之指
'an'fu'zun'rong 安富尊荣
'ang 昂
'ang'ang'bu'dong 昂昂不动
'an'gang'fei'dao 暗钢飞刀
'ang'ang'zang'zang 肮肮脏脏
'ang'ang'zhi'he 昂昂之鹤
'ang'ang'zi'ruo 昂昂自若
'ang'cang'qi'chi 昂藏七尺
'an'ge'er 安戈尔
'an'ge'er 安格尔
'an'ge'fu 安格弗
'an'ge'fu'de'jian 安格弗的剑
'an'ge'fu'de'zhan'fu 安格弗的战斧
'an'ge'lei'er 安戈雷尔
'an'ge'lei'er 安格雷尔
'an'ge'li'si'ta 安格莉丝塔
'an'ge'li'si'ta'de'chu'mo 安格莉丝塔的触摸
'an'ge'li'si'ta'de'hu'fu 安格莉丝塔的护符
'an'ge'li'si'ta'zhi'wo 安格莉丝塔之握
'an'ge'lun 安格伦
'an'ge'luo 安戈洛
'an'ge'luo'huan'xing'shan 安戈洛环形山
'an'ge'luo'shen 安葛洛什
'an'ge'luo'shen'yao'sai 安葛洛什要塞
'an'ge'luo'shen'ying'di 安葛洛什营地
'an'ge'luo'tu'dui 安戈洛土堆
'ang'er'fu'shi 仰而赋诗
'an'ge'si'te 安格斯特
'ang'ge'ku'er 盎格库尔
'ang'pan'fu'qu 仰攀俯取
'ang'ran'er'ru 昂然而入
'ang'ran'ting'li 昂然挺立
'ang'ran'zhi'ru 昂然直入
'ang'ran'zi'de 昂然自得
'ang'ran'zi'ruo 昂然自若
'ang'shou'jie'fei'nao 仰手接飞猱
'ang'shou'kuo'bu 昂首阔步
'ang'shou'shen'mei 昂首伸眉
'ang'shou'shen'mei 昂首信眉
'ang'shou'tian'wai 昂首天外
'ang'shou'ting'xiong 昂首挺胸
'ang'shou'wang'tian 昂首望天
'ang'shou'xin'mei 卬首信眉
'ang'tou'kuo'bu 卬头阔步
'ang'tou'kuo'bu 昂头阔步
'ang'tou'tian'wai 昂头天外
'ang'tou'ting'xiong 昂头挺胸
'an'guo'fu'min 安国富民
'an'guo'ning'jia 安国宁家
'an'guo'zhi'dao 安国之道
'an'gu'si 安古斯
'an'gu'zhi'bian 岸谷之变
'an'gu'zhong'qian 安故重迁
'ang'wa'er'fu 仰蛙儿浮
'ang'wu'hao'tan 仰屋浩叹
'ang'wu'xing'jie 仰屋兴嗟
'ang'wu'xing'tan 仰屋兴叹
'ang'wu'zhao'shu 仰屋着书
'ang'wu'zhi'qin 仰屋之勤
'ang'xiao'song'he 昂霄耸壑
'ang'xi'ta'ren 仰息他人
'ang'yu'xiang'ji 盎盂相击
'ang'yu'xiang'qiao 盎盂相敲
'ang'zang'de'jin'shu'xue 肮脏的金属靴
'ang'zang'de'tao'suo 肮脏的套索
'ang'zang'de'yu'ni'guai'fa'shu 肮脏的淤泥怪法术
'an'ha'nu 安哈努
'an'hei 暗黑
'an'hu'bi'min 案户比民
'an'hui'lang 暗灰狼
'an'hui'lang'hao'jiao 暗灰狼号角
'an'hui'xiao'chen 黯晦消沉
'an'hun 暗魂
'an'hun'ding'po 安魂定魄
'an'hun'mi'fa'jie 暗魂秘法戒
'an'ji 暗疾
'an'jia'bu'chu 按甲不出
'an'jia'bu'dong 按甲不动
'an'jia'le'ye 安家乐业
'an'jia'li'ye 安家立业
'an'jia'luo'hu 安家落户
'an'jian 按剑
'an'jian'chen'mu 案剑瞋目
'an'jiang'chu'ruo 按强助弱
'an'jian'ming'qiang 暗箭明枪
'an'jian'nan'fang 暗箭难防
'an'jian'qia'wen 广见洽闻
'an'jian'shang'ren 暗箭伤人
'an'jian'zhong'ren 暗箭中人
'an'jian'zui'nan'fang 暗箭最难防
'an'jian'zui'nan'fang 暗剑最难防
'an'jiao 暗角
'an'jiao'chong'feng 暗角冲锋
'an'jiao'hai 暗礁海
'an'jiao'xian'tan 暗礁险滩
'an'jiao'zhan'fu 暗礁战斧
'an'jiao'zu'zhou 暗角诅咒
'an'jia'qin'bing 按甲寝兵
'an'jia'xiu'bing 按甲休兵
'an'jia'xiu'bing 案甲休兵
'an'ji'er 暗记儿
'an'ji'la 安吉拉
'an'ji'la'si 安吉拉斯
'an'jing'de'ji'xie'xue'ren 安静的机械雪人
'an'ji'xun'zong 按迹循踪
'an'ji'zao 安期枣
'an'ju'lao'su 安居乐俗
'an'ju'le'ye 安居乐业
'an'kang 暗抗
'an'kui'la 安奎拉
'an'lao'fen'pei 按劳分配
'an'lao'huai'shao 安老怀少
'an'lao'qu'chou 按劳取酬
'an'lei 暗雷
'an'le'shi'jie 安乐世界
'an'le'wo 安乐窝
'an'liang'chu'bao 安良除暴
'an'ling 暗灵
'an'li'shi'jin 暗里使劲
'an'li'ti'tui 暗里踢腿
'an'liu'yong'dong 暗流涌动
'an'lu 庵庐
'an'lu 暗炉
'an'lu'cheng 暗炉城
'an'lv'xi'hong 暗绿稀红
'an'ma'lao'dun 鞍马劳顿
'an'ma'lao'juan 鞍马劳倦
'an'ma'lao'kun 鞍马劳困
'an'ma'lao'shen 鞍马劳神
'an'mao 暗矛
'an'mao'hai'tan 暗矛海滩
'an'mao'ju'mo 暗矛巨魔
'an'mao'sheng'wang 暗矛声望
'an'ma'zhi'lao 鞍马之劳
'an'mei'dai'yan 安眉带眼
'an'mei'zhi'shi 暗昧之事
'an'mian 暗免
'an'min'gao'shi 安民告示
'an'ming'ze'shi 按名责实
'an'min'ji'wu 安民济物
'an'mo 暗魔
'an'mu 暗幕
'an'mu 暗木
'an'mu 暗牧
'an'mu'chang'xue 暗幕长靴
'an'mu'duan'ku 暗幕短裤
'an'mu'fa'zhang 暗木法杖
'an'mu'hu'wan 暗幕护腕
'an'mu'jian'jia 暗幕肩甲
'an'mu'pi'mao 暗幕皮帽
'an'mu'shou'tao 暗幕手套
'an'mu'wai'tao 暗幕外套
'an'mu'yao'dai 暗幕腰带
'an'na'bu'xia 按纳不下
'an'na'bu'xia 按捺不下
'an'na'bu'zhu 按捺不住
'an'na'bu'zhu 按纳不住
'an'na'ke'de'la 安娜科德拉
'an'na'ke'luo'si 安纳克罗斯
'an'na'luo'mu 安纳洛姆
'an'nan'le'si 安难乐死
'an'na'sai'long 安纳塞隆
'an'na'sai'mu'si 安纳塞姆斯
'an'na'si'ta'li 安娜丝塔丽
'an'na'si'ta'li'de'chuan'jia'bao 安娜丝塔丽的传家宝
'an'na'si'ta'xi'ya 安娜斯塔西娅
'an'na'si'te'li'ya 安纳斯特里亚
'an'na'xi'ke 安纳希克
'an'na'ya 安娜雅
'an'nei'rang'wai 安内攘外
'an'nei'rong'cun'qu'cun'chu'qi 按内容存取存储器
'an'ni'li'ya 安妮莉亚
'an'ni'sen 安尼森
'an'ni'sha'er 安妮莎尔
'an'ni'sha'er 安尼沙尔
'an'ni'si 安尼斯
'an'ni'ta 安妮塔
'an'nu 安努
'a'nou'da'chi 阿耨达池
'a'nou'da'shan 阿耨达山
'a'nou'duo'luo 阿耨多罗
'an'ou'wei'en 安欧维恩
'an'pei'xu'xing 按辔徐行
'an'pi 暗皮
'an'pi'chai'lang'ren 暗皮豺狼人
'an'pin'le'dao 安贫乐道
'an'pin'le'jian 安贫乐贱
'an'pin'shou'dao 安贫守道
'an'pin'zhi'ming 安贫知命
'an'qi 暗契
'an'qian'ma'hou 鞍前马后
'an'qi'an'nao 暗气暗恼
'an'qi'la 安其拉
'an'qi'la'fei'xu 安其拉废墟
'an'qi'la'shen'dian 安其拉神殿
'an'qi'la'zhan'zheng 安其拉战争
'an'qi'la'zhi'men 安其拉之门
'an'qing 暗青
'an'qing'zhi'shi 暗青之石
'an'qing'zhi'shi'ji 暗青之石级
'an'qi'suo'xi 安其所习
'an'quan'biao'hao 安全标号
'an'quan'cao'zuo'xi'tong 安全操作系统
'an'quan'ce'lue 安全策略
'an'quan'chuan'song'qi 安全传送器
'an'quan'cuo'shi 安全措施
'an'quan'deng'ji 安全等级
'an'quan'dian'zi'jiao'yi 安全电子交易
'an'quan'gong'neng'ping'gu 安全功能评估
'an'quan'guo'lv'qi 安全过滤器
'an'quan'jian'cha 安全检查
'an'quan'jiang'luo 安全降落
'an'quan'kong'zhi 安全控制
'an'quan'lei 安全类
'an'quan'lu'you'qi 安全路由器
'an'quan'mo'xing 安全模型
'an'quan'nei'he 安全内核
'an'quan'ren'zheng'shou'quan 安全认证授权
'an'quan'shen'ji 安全审计
'an'quan'shi'bie 安全识别
'an'quan'shi'jian 安全事件
'an'quan'tao'jie'ceng 安全套接层
'an'quan'ting'ji 安全停机
'an'quan'wang 安全网
'an'quan'wang'guan 安全网关
'an'quan'xing 安全性
'an'quan'xi'shu 安全系数
'an'quan'xu'ke 安全许可
'an'quan'yu 安全域
'an'quan'yun'xing'mo'shi 安全运行模式
'an'quan'zhu'guan'ji'luo'mu 安全主管吉罗姆
'an'ran'dao'mao 岸然道貌
'an'ran'gu 黯然蛊
'an'ran'hun'xiao 黯然魂消
'an'ran'hun'xiao 黯然魂销
'an'ran'lei'xia 黯然泪下
'an'ran're'su 安然若素
'an'ran'ru'gu 安然如故
'an'ran'shang'shen 黯然伤神
'an'ran'shen'shang 黯然神伤
'an'ran'shi'se 黯然失色
'an'ran'wu'guang 黯然无光
'an'ran'wu'se 黯然无色
'an'ran'wu'shen 黯然无神
'an'ran'wu'shi 安然无事
'an'ran'wu'yang 安然无恙
'an'ran'xiao'hun 黯然销魂
'an'ren 暗刃
'an'ren'can'zei 安忍残贼
'an'ren'wu'qin 安忍无亲
'an'ren'zhi'huai 安忍之怀
'an'ren'zu'bing 安忍阻兵
'an'ri 暗日
'an'ruo'shou'ci 安弱守雌
'an'ruo'tai'shan 安若泰山
'an'ruo'wu'duan 暗弱无断
'an'ru'pan'shi 安如磐石
'an'ru'pan'shi 安如盘石
'an'ru'tai'shan 安如太山
'an'ru'tai'shan 安如泰山
'an'sai'wa 安塞瓦
'an'sa'ni'ya 安萨妮娅
'an'se 暗色
'an'se'chang'xue 暗色长靴
'an'se'fu'dou'peng 暗色蝠斗篷
'an'se'he'tan 暗色河滩
'an'se'hu 暗色湖
'an'se'hu'mo'gu 暗色湖蘑菇
'an'se'hu'wan 暗色护腕
'an'se'pi'dai 暗色皮带
'an'se'pi'hu'tui 暗色皮护腿
'an'se'pi'jia 暗色皮甲
'an'shang 暗伤
'an'shao 暗哨
'an'sha'wang 暗杀王
'an'sha'zhe 暗杀者
'an'sha'zhe'yin'ji 暗杀者印记
'an'sha'zhi'dun 暗杀之盾
'an'shen'bu'lao 安身不牢
'an'shen'ding'hun 安神定魂
'an'shen'ding'po 安神定魄
'an'sheng'fu'ye 安生服业
'an'sheng'le'ye 安生乐业
'an'shen'le'ye 安身乐业
'an'shen'li'ming 安身立命
'an'shen'wei'le 安身为乐
'an'shen'zhi'chu 安身之处
'an'shen'zhi'di 安身之地
'an'shi 暗石
'an'shi'bu'qi 暗室不欺
'an'shi'bu'qi 闇室不欺
'an'shi'chu'shun 安时处顺
'an'shi'feng'deng 暗室逢灯
'an'shi'kui'xin 暗室亏心
'an'shi'li'chu 安室利处
'an'shi'mo'shi 安世默识
'an'shi'qiu'wu 暗室求物
'an'shi'qiu'yi 广师求益
'an'shi'qi'xin 暗室欺心
'an'shi'ru'chang 安适如常
'an'shi'si'xin 暗室私心
'an'shi'wu'lou 暗室屋漏
'an'shui'chang'pao 暗水长袍
'an'shui'hu'shou 暗水护手
'an'shui'hu'wan 暗水护腕
'an'si'lei'mu 安斯雷姆
'an'song'qiu'bo 暗送秋波
'an'su 安苏
'an'su'de'zhao'ya 安苏的爪牙
'an'su'wa 安苏瓦
'an'tai'en 安泰恩
'an'tai'la'si 安泰拉斯
'an'ta'liu'si 安塔留斯
'an'te'la'si 安特拉斯
'an'ti'ge'nie 安提戈涅
'an'ti'li'ao'si 安提里奥斯
'an'tong'kuan'qu 暗通款曲
'an'tou 暗投
'an'tu'chong'qian 安土重迁
'an'tu'er 安图尔
'an'tu'le'ye 安土乐业
'an'tu'su'er 安图苏尔
'an'tu'su'er'zhi'shou 安图苏尔之手
'an'tu'suo'ji 按图索籍
'an'tu'suo'ji 按图索骥
'an'tu'suo'jun 按图索骏
'an'tu'xi'min 安土息民
'an'tu'zhong'jiu 安土重旧
'an'tu'zhong'ju 安土重居
'a'nu'bi'sa'si 阿努比萨斯
'a'nu'bi'sa'si'fang'yu'zhe 阿努比萨斯防御者
'a'nu'bi'sa'si'zhan'chui 阿努比萨斯战锤
'a'nu'bi'sa'si'zhan'zheng'shi'zhe 阿努比萨斯战争使者
'a'nu'bu'lei'kan 阿努布雷坎
'a'nu'bu'lei'kan'guang'huan 阿努布雷坎光环
'a'nuo'de 阿诺德
'a'nuo'ke 阿诺克
'a'nu'xi'er 阿努希尔
'a'nu'xi'er'zhi'ke 阿努希尔之壳
'an'wei'ma'er 安威玛尔
'an'wei'na 安薇娜
'an'wei'xiang'yi 安危相易
'an'wei'yu'gong 安危与共
'an'wen 暗纹
'an'wen'chang'pao 暗纹长袍
'an'wen'duan'ku 暗纹短裤
'an'wen'hu'jian 暗纹护肩
'an'wen'ma'ku 暗纹马裤
'an'wen'mian'zhao 暗纹面罩
'an'wen'shou'tao 暗纹手套
'an'wen'tao 暗纹套
'an'wen'zhi'xue 暗纹之靴
'an'wo'er 安沃尔
'an'wu 暗雾
'an'wu'liu'du 案无留牍
'an'wu'tian'ri 闇无天日
'an'wu'tian'ri 暗无天日
'an'xia'hu'lu'fu'qi'piao 按下葫芦浮起瓢
'an'xia'hu'lu'you'qi'piao 按下葫芦又起瓢
'an'xiang'cao'zuo 暗箱操作
'an'xiang'gong'jing 安详恭敬
'an'xiang'gong'jing 安祥恭敬
'an'xiang'po 暗香坡
'an'xiang'shu'ying 暗香疏影
'an'xian'zi'de 安闲自得
'an'xian'zi'zai 安闲自在
'an'xin'ding'zhi 安心定志
'an'xing'ji'dou 安行疾斗
'an'xing'zi'yi 按行自抑
'an'xin'ji'shi 暗心技师
'an'xin'le'ye 安心乐业
'an'xin'le'yi 安心乐意
'an'xin'li'ming 安心立命
'an'xin'luo'yi 安心落意
'an'xin'tian'dang 安心恬荡
'an'xu 按序
'an'xue'mao'bing 暗血矛兵
'an'xue'qing'dao'fu 暗血清道夫
'an'xue'shen'yu'zhe 暗血神谕者
'an'xue'zhi'liao'zhe 暗血治疗者
'an'xu'fen'pei 按需分配
'an'xu'jian'ce 按序检测
'an'xu'ti'jiao 按序提交
'an'xu'zhi'mi 按需知密
'an'xu'zhi'xing 按序执行
'an'ya 安亚
'an'ya 安雅
'an'ya 暗牙
'an'yan 暗眼
'an'yang'nu 安阳弩
'an'yan'shu 暗言术
'an'yan'shu'tong 暗言术痛
'an'yan'tong 暗言痛
'an'yao'si'ji 暗约私期
'an'yao'tou'ji 暗约偷期
'an'ye 暗夜
'an'ye'jing'ling 暗夜精灵
'an'ye'jing'ling'cun'zhuang 暗夜精灵村庄
'an'ye'jing'ling'zhong'zu'te'chang 暗夜精灵种族特长
'an'yi 暗翼
'an'yi'chen'jian 暗翼衬肩
'an'yi'fu 暗翼蝠
'an'ying 暗影
'an'ying'bao 暗影堡
'an'ying'bao'fa 暗影爆发
'an'ying'bao'pi'shou'tao 暗影豹皮手套
'an'ying'bao'pi'yao'dai 暗影豹皮腰带
'an'ying'bing'shuang'fan'she 暗影冰霜反射
'an'ying'bi'shou 暗影匕首
'an'ying'bu 暗影步
'an'ying'cheng'jie 暗影惩戒
'an'ying'cheng'jie'zhi 暗影惩戒之
'an'ying'chong'feng 暗影冲锋
'an'ying'chuan'song 暗影传送
'an'ying'ci'ji 暗影刺击
'an'ying'dian'wu 暗影玷污
'an'ying'dou'peng 暗影斗篷
'an'ying'fang'hu'dao'yan 暗影防护祷言
'an'ying'fang'hu'yao'ji 暗影防护药剂
'an'ying'fang'hu'yao'shui 暗影防护药水
'an'ying'fan'she'qi 暗影反射器
'an'ying'fa'shu'shang'hai 暗影法术伤害
'an'ying'fa'zhang 暗影法杖
'an'ying'fei'long 暗影飞龙
'an'ying'feng'bao 暗影风暴
'an'ying'fu'yuan 暗影复原
'an'ying'gan'si 案萤干死
'an'ying'hua'bian'guo'shou 暗影花边裹手
'an'ying'hui'kan 暗影挥砍
'an'ying'hu'mu'jing 暗影护目镜
'an'ying'jian 暗影箭
'an'ying'jian'xuan'feng 暗影箭旋风
'an'ying'jian'yu 暗影箭雨
'an'ying'jie'ti 暗影阶梯
'an'ying'jie'wei 暗影戒卫
'an'ying'ji'tan 暗影祭坛
'an'ying'ji'zhong 暗影集中
'an'ying'kang'xing 暗影抗性
'an'ying'kang'xing'guang'huan 暗影抗性光环
'an'ying'kang'xing'zhi 暗影抗性之
'an'ying'lian'dao 暗影镰刀
'an'ying'lie'kou 暗影裂口
'an'ying'lie'ren'dan'jie 暗影猎人丹杰
'an'ying'lie'shou 暗影猎手
'an'ying'lie'xi 暗影裂隙
'an'ying'lie'yan 暗影烈焰
'an'ying'lie'yan'chang'xue 暗影烈焰长靴
'an'ying'lie'yan'fa'zhang 暗影烈焰法杖
'an'ying'li'liang'bao'dian 暗影力量宝典
'an'ying'li'ming'chen'jian 暗影黎明衬肩
'an'ying'mian'yi 暗影免疫
'an'ying'mi'gong 暗影迷宫
'an'ying'ming'ling 暗影命令
'an'ying'ming'si 暗影冥思
'an'ying'mi'wu 暗影迷雾
'an'ying'mo 暗影魔
'an'ying'mo'fa 暗影魔法
'an'ying'mu'xue 暗影墓穴
'an'ying'neng'liang 暗影能量
'an'ying'pai'huai'zhe'pi'feng 暗影徘徊者披风
'an'ying'ping'bi'hu'fu 暗影屏蔽护符
'an'ying'ping'zhang 暗影屏障
'an'ying'qiang'hua 暗影强化
'an'ying'qian'xing 暗影潜行
'an'ying'qin'he 暗影亲和
'an'ying'ren 暗影刃
'an'ying'shan 暗影山
'an'ying'shang'hai 暗影伤害
'an'ying'shan'xian 暗影闪现
'an'ying'she'ji 暗影射击
'an'ying'sheng'yin 暗影圣印
'an'ying'shi 暗影石
'an'ying'shi'jie 暗影视界
'an'ying'shou'wei 暗影守卫
'an'ying'shui'jing 暗影水晶
'an'ying'suo'jia'hu'jing 暗影锁甲护胫
'an'ying'tao'zhuang 暗影套装
'an'ying'tou'jin 暗影头巾
'an'ying'tu'xi 暗影突袭
'an'ying'wai'ke 暗影外壳
'an'ying'wei'li 暗影微粒
'an'ying'xiao'gui 暗影小鬼
'an'ying'xiao'guo 暗影效果
'an'ying'xia'zhai 安营下寨
'an'ying'xing'tai 暗影形态
'an'ying'xin'xing 暗影新星
'an'ying'xu'ruo 暗影虚弱
'an'ying'yan'shen 暗影延伸
'an'ying'yi'hui 暗影议会
'an'ying'yin'dao 暗影引导
'an'ying'yin'ji 暗影印记
'an'ying'yi'shang 暗影易伤
'an'ying'zhang'wo 暗影掌握
'an'ying'zha'zhai 安营扎寨
'an'ying'zhen'ji 暗影震击
'an'ying'zhen'zhu 暗影珍珠
'an'ying'zhe'zhao 暗影遮罩
'an'ying'zhi'bo 暗影之波
'an'ying'zhi'chen 暗影之尘
'an'ying'zhi'chu 暗影之触
'an'ying'zhi'dun 暗影之盾
'an'ying'zhi'ji 暗影之击
'an'ying'zhi'li'yao'ji 暗影之力药剂
'an'ying'zhi'men 暗影之门
'an'ying'zhi'nu 暗影之怒
'an'ying'zhi'wo 暗影之握
'an'ying'zhi'ya 暗影之牙
'an'ying'zhi'yan 暗影之眼
'an'ying'zhi'yi 暗影之翼
'an'ying'zhi'yong 暗影之拥
'an'ying'zhi'you 暗影之油
'an'ying'zhuan'jing 暗影专精
'an'ying'zhuo'shao 暗影灼烧
'an'ying'zhu'si 暗影蛛丝
'an'ying'zhu'si'tou'lan'zhe 暗影蛛丝偷懒者
'an'ying'zhu'si'tou'lie'zhe 暗影蛛丝偷猎者
'an'ying'zu'zhou 暗影诅咒
'an'yi'shou'tao 暗翼手套
'an'you'kong'liang 暗牖空梁
'an'yu 安虞
'an'yu 暗语
'an'yue 暗月
'an'yue'bao'zhu 暗月宝珠
'an'yue'hu'fu 暗月护符
'an'yue'jie'zhi 暗月戒指
'an'yue'ma'xi'tuan 暗月马戏团
'an'yue'ma'xi'tuan'ta'luo'pai 暗月马戏团塔罗牌
'an'yue'pi'feng 暗月披风
'an'yue'tao'pai'shi'pin 暗月套牌饰品
'an'yue'xiang'lian 暗月项链
'an'yu'fu'yu 安于覆盂
'an'yu'gu'su 安于故俗
'an'yu'gu'su'ni'yu'jiu'wen 安于故俗溺于旧闻
'an'yun 暗云
'an'yu'pan'shi 安于盘石
'an'yu'pan'shi 安于磐石
'an'yu'suo'xi 安于所习
'an'yu'tai'shan 安于泰山
'an'yu'xia'gu 暗语峡谷
'an'yu'xian'zhuang 安于现状
'an'yu'yi'yu 安于一隅
'an'yu'zhang'fu 暗狱长斧
'an'ze 暗泽
'an'ze'cun 暗泽村
'an'ze'hu 暗泽湖
'an'zhai'zheng'lu 安宅正路
'an'zhao'zhi'ling 按照指令
'an'zhao'zu'zhou 暗爪诅咒
'an'zhen'er'wo 安枕而卧
'an'zhi'fei'fu 安知非福
'an'zhi're'gu 安之若固
'an'zhi'ruo'ming 安之若命
'an'zhi'ruo'su 安之若素
'an'zhong'mo'suo 暗中摸索
'an'zhong'pan'suan 暗中盘算
'an'zhong'qing'ya 暗中倾轧
'an'zhong'zuo'geng 暗中作梗
'an'zhong'zuo'le 暗中作乐
'an'zhuang'chu'li'kong'zhi 安装处理控制
'an'zhuang'he'jian'yan'jie'duan 安装和检验阶段
'an'zhuang'ji'shu 安装技术
'an'zong'lang 暗棕狼
'an'zong'lang'hao'jiao 暗棕狼号角
'an'zuo'dai'bi 安坐待毙
'ao'ao'dai'bu 嗷嗷待哺
'ao'ao'dai'shi 嗷嗷待食
'ao'ao'jian'jian 熬熬煎煎
'ao'ao'ji'ji 熬熬汲汲
'ao'ao'wu'gao 嗷嗷无告
'ao'ba'ge'mu 奥巴格姆
'ao'bao 奥爆
'ao'bao'shu 奥爆术
'ao'ben 奥本
'ao'bi 奥比
'ao'bing'chi'bi 鏖兵赤壁
'ao'bi'si'dun 奥比斯顿
'ao'bo 熬波
'ao'bo'ding 奥伯丁
'ao'bo'ding'wu'qi'shi'yan'chang 奥伯丁武器试验场
'ao'bo'ding'yue'liang'jing 奥伯丁月亮井
'ao'bu'ke'chang 敖不可长
'ao'bu'ke'zhang 傲不可长
'ao'bu'li 奥布里
'ao'bu'nuo'ti'si 奥布诺提斯
'ao'bu'rui'en 奥布瑞恩
'ao'chang'gua'du 熬肠刮肚
'ao'ci 奥茨
'ao'dai 鳌戴
'ao'da'lan'da'shi 奥达兰大使
'ao'da'man 奥达曼
'ao'da'meng'te 奥达蒙特
'ao'dan'mu 奥丹姆
'ao'dan'mu'shi'zuo 奥丹姆石座
'ao'da'nu'si 奥达努斯
'ao'da'xi'er 奥达希尔
'ao'de'en 奥德恩
'ao'de'hui'jin 奥的灰烬
'ao'de'li'ke 奥德利克
'ao'de'lun 奥德伦
'ao'de'rui'ke 奥德瑞克
'ao'de'rui'si 奥德瑞斯
'ao'de'wen 奥德文
'ao'de'xiu'ji 奥德修纪
'ao'de'xiu'si 奥德修斯
'ao'de'xiu'si'ying'di 奥德修斯营地
'ao'diao 鳌钓
'ao'di'la'lan 奥迪拉兰
'ao'di'la'lan'fei'xu 奥迪拉兰废墟
'ao'di'ya 奥蒂亚
'ao'du 奥杜
'ao'duo'bian'xing 凹多边形
'ao'du'zhi'zhang 奥杜之杖
'ao'er'de 奥尔德
'ao'er'duo 奥尔多
'ao'er'duo'di'dui 奥尔多敌对
'ao'er'duo'gao'di 奥尔多高地
'ao'er'duo'hu'wei'bu'qiang 奥尔多护卫步枪
'ao'er'duo'mo'zhuang 奥尔多魔装
'ao'fa'bao'zhu 奥法宝珠
'ao'fa'cheng'jie 奥法惩戒
'ao'fa'cheng'jie'zhi 奥法惩戒之
'ao'fa'fu'wen'hu'wan 奥法符文护腕
'ao'fa'jiao'zhi'tao'zhuang 奥法交织套装
'ao'fan 奥反
'ao'fa'shi'de'shi'pu 奥法师的食谱
'ao'fa'shi'du'an 奥法师杜安
'ao'fa'tou'jin 奥法头巾
'ao'fa'yao'ji 奥法药剂
'ao'fa'zhi'chen 奥法之尘
'ao'fa'zhi'pao 奥法之袍
'ao'fa'zhi'zhang 奥法之杖
'ao'fei'er 奥菲尔
'ao'fei'ke 奥菲克
'ao'fen'long'chou 鳌愤龙愁
'ao'ge'fu'lin'te 奥格弗林特
'ao'ge'la'bi'si 奥格拉比斯
'ao'ge'long 奥格隆
'ao'ge'long'de'yao'dai 奥格隆的腰带
'ao'ge'mu'zhi'ren 奥戈姆之刃
'ao'gen 奥根
'ao'geng'shou'ye 熬更守夜
'ao'ge'ni'er 奥戈尼尔
'ao'ge'nuo'en 奥格诺恩
'ao'ge'rui'la 奥格瑞拉
'ao'ge'rui'ma 奥格瑞玛
