'a'da'zhong'lang'xi'you'yu 阿大中郎喜有馀
'an'neng'jiu'chen'tu 安能久尘土
'an'neng'jiu'qie'shi 安能久窃食
'an'neng'ku'yi'shen 安能苦一身
'an'neng'lian'qing'gong 安能恋青宫
'an'neng'ri'yue'gong'hui'guang 安能日月共回光
'an'neng'wei'ren'zuo'hao'shi 安能为人作嚆矢
'an'neng'wei'xuan'yuan 安能为轩辕
'an'neng'wen'xiang'ji 安能问香积
'an'neng'xiang'fu'yu 安能相付予
'an'neng'xun'xin'fu 安能徇心腹
'an'neng'yang'yang'shi'ping'sheng 安能鞅鞅似平生
'an'neng'yi'ci'shang'lun'lie 安能以此上论列
'an'neng'yi'de'xian 安能易地闲
'an'neng'zhi'ren 安能治人
'an'neng'zhong'lao'chen'tu'xia 安能终老尘土下
'an'ning'zhu 黯凝伫
'an'pai'er'qu'hua 安排而去化
'an'pai'ju'fa'yi'nan'xun 安排句法已难寻
'an'pai'shi'lv'dui'jiang'dui 安排诗律追强对
'an'pai'zhuang'ting'xie 安排壮亭榭
'an'po'shen'long'gui 暗魄深笼桂
'an'pu'shao'jiang'fen 暗浦稍将分
'an'qi'duan 暗凄断
'an'qi'luo'xiu 暗欺罗袖
'an'qi'mai'sha'shu 暗碛埋沙树
'an'qin'bei'tang'shang 安寝北堂上
'an'qin'yi'tai'kang 安寝已太康
'an'qiong'qi'ye'yong 暗蛩泣夜永
'an'qiong'you'xu'zhi 暗蛩有虚织
'an'qi'si'feng'liang'yi'tong 暗泣嘶风两意同
'an'qi'you'jing'que 暗枝有惊鹊
'an'qu'dao'zai 安取道哉
'an'qu'fei'qian'li 岸曲非千里
'an'qu'ren'yi 安取仁义
'an'qu'si'yin'ju 岸曲丝阴聚
'an'ran'qing'xu 黯然情绪
'an'ran'xiao'hun'zhe 黯然销魂者
'an'ren'dong'qiu'xing 安仁动秋兴
'an're'tang'yu'gui 安若堂与闺
'an'rong'dai'la'jiang'shu'liu 岸容待腊将舒柳
'an'ru'bai'yun'xiang 暗入白云乡
'an'sai'he'shi'duan'ren'chang 暗思何事断人肠
'an'seng'su'yuan'jin 庵僧俗缘尽
'an'sha'jun'kan'qu'nian'hen 岸沙君看去年痕
'an'shang'chen'xiang'lou 暗上沉香楼
'an'shang'chun'fu 安上纯父
'an'shang'hu'die'fei 岸上蝴蝶飞
'an'shang'leng'yan'yi'bu'kan 案上楞严已不看
'an'shang'rong'wu'hua'shu 岸上茸五花树
'an'shang'sha 岸上沙
'an'shang'shui'jia'you'ye'lang 岸上谁家游冶郎
'an'shang'wen'shu'lue'mi'yan 案上文书略米盐
'an'shang'wu'ren'xiao'ting'xie 岸上无人小艇斜
'an'sha'xue'ji'shan'yun'wei 岸沙雪积山云委
'an'shen'shi'yue'lv 按沈氏乐律
'an'shi'dong'shan'san'shi'chun 安石东山三十春
'an'shi'er'chu'shun 安时而处顺
'an'shi'hong'hu'you 安识鸿鹄游
'an'shi'liu'hua'kai'zui'chi 安石榴花开最迟
'an'shi'liu'kai 安石榴开
'an'shi'pai'zhong'qu 安事迫中区
'an'shi'rou'yu'jiu 安识肉与酒
'an'shi'sheng'ming'yue 广泽生明月
'an'shou'fan 安守范
'an'shuang'yi'shu'su 暗霜移树宿
'an'shui'fei'ying'zhao 暗水飞萤照
'an'shui'guang'mi'mi 暗水光弥弥
'an'shui'ji'hai'liu 暗水急还流
'an'shui'liu'hua'jing 暗水流花径
'an'shui'ming'ku'zhao 暗水鸣枯沼
'an'shu'lin'xuan'zhuan'qi'lai 桉树林旋转起来
'an'shu'shi'nian'hu'shang'lu 暗数十年湖上路
'an'sui'liu'shui'dao'tian'ya 暗随流水到天涯
'an'sun'shao'hua 暗损韶华
'an'suo'chun'chuan 岸锁春船
'an'suo'kun'ku'zai 安所困苦哉
'an'ti'luo'zhang'kong'zi'lian 暗啼罗帐空自怜
'an'ting'han'xi'qi 广庭含夕气
'an'ting'lian'xue'cheng 广庭怜雪净
'an'ting'shang'sheng'shou 广庭觞圣寿
'an'ting'yang'jiu'zou 广庭扬九奏
'an'tou'kong'yu'bao 暗投空欲报
'a'nu'lao'xiu'bu'tong'lao 阿奴络秀不同老
'a'nu'xi'qi'zhao'ren'huang 阿奴喜气照人黄
'a'nu'xu'lu'lu 阿奴须碌碌
'a'nv'mo'wu'sheng 阿女默无声
'a'nv'xian'lei'da 阿女衔泪答
'an'wang'er'bu'ai'zai 安往而不爱哉
'an'wei'ding'bian 安危定变
'an'wei'mo'xin'zhu 安危万心注
'an'wei'qi'ming'zhe 安危俟明哲
'an'wei'tuo'fu'ren 安危托妇人
'an'wei'xiang'yi 安危相易
'an'wei'xin'qian'gou 安位衅潜构
'an'wen'jin'qin'jin'ye'meng 安稳锦衾今夜梦
'an'wen'shen'tong'gua'jiao'xiang 安稳身同挂角羊
'an'wen'xian'guan'jiu'tian'shang 暗闻弦管九天上
'an'wu'chun'feng'yi'jiu 暗舞春风依旧
'an'wu'he'er'wang'nian 按舞鹤而忘年
'an'xiang'bu'shi'huang'hun 暗香不是黄昏
'an'xiang'cong'qian 暗想从前
'an'xiang'dang'chu 暗想当初
'an'xiang'deng'guang'di 暗向灯光底
'an'xiang'fu'dong'yue'huang'hun 暗香浮动月黄昏
'an'xiang'jing'se'liao'shi'ju 暗香静色撩诗句
'an'xiang'jiu'ri'qian'qing'chu 暗想旧日牵情处
'an'xiang'lai 暗香来
'an'xiang'qiong'zhi'bi'yue 暗想琼枝璧月
'an'xiang'ru'hu'xun'duan'meng 暗香入户寻短梦
'an'xiang'sheng'xue'fu 暗香生雪肤
'an'xiang'shu'ying 暗香疏影
'an'xiang'si 暗相思
'an'xiang'sui'wo'qu 暗香随我去
'an'xiang'wu'mi'chu 暗香无觅处
'an'xiang'xian'fan'yu'mei'hun 暗香先返玉梅魂
'an'xiang'yi'ya'tu'mi'dao 暗香已压酴醾倒
'an'xiang'yi'yuan 暗香已远
'an'xiang'yi'zhen'lian'feng'qi 暗香一阵连风起
'an'xian'kui'lao'seng 安闲愧老僧
'an'xian'ri'shi'nian 安闲日似年
'an'xiao'hun 暗消魂
'an'xiao'ji'xue 暗消肌雪
'an'xiao'nian'shao 暗消年少
'an'xiao'ning 黯销凝
'an'xi'chun'hong'yi'jiu 暗喜春红依旧
'an'xi'du'hu'guo'xi'men 安西都护国西门
'an'xie'nv'shou'yin'qin'yan 暗携女手殷勤言
'an'xi'lao'shou'shi'chan'seng 安西老守是禅僧
'an'xin'ci 按新词
'an'xing'wei'you'bian 按幸为忧边
'an'xin'hao'zhu'wang'wen'du 安心好住王文度
'an'xin'hui'zi'de 安心会自得
'an'xin'lan'zuo'ye'hu'chan 安心懒作野狐禅
'an'xin'shi'yao'geng'wu'fang 安心是药更无方
'an'xin'shou'xuan'pin 安心守玄牝
'an'xin'you'dao'nian'yan'hao 安心有道年颜好
'an'xi'san'xia'shou 广溪三峡首
'an'xun'bu'ceng'tong 安讯不曾通
'an'xun'si 暗寻思
'an'xu'xian'ren'dai'tou'qia 暗许闲人带偷掐
'an'yan'dang'ge'qu'yi'zhong 广宴当歌曲易终
'an'yang'hao 安阳好
'an'yan'jiang'ting'wei'wo'kai 广宴江亭为我开
'an'yan'liu'shang'ke 广筵留上客
'an'yi'huan'ji'zhen'si'meng 暗忆欢期真似梦
'an'yong'ba'bai'hu 安用八百斛
'an'yong'dan'sha'qiao'zhu'yan 安用丹砂巧驻颜
'an'yong'dao'hua'zan 安用叨华簪
'an'yong'li'yue 安用礼乐
'an'yong'ming'gao'zeng'han'lei 安用鸣鼛增汉垒
'an'yong'ming'jiao'lei'kuai'xiong 安用茗浇垒块胸
'an'yong'ping'sha 岸拥平沙
'an'yong'ren'jian'shi'gui'qian 安用人间使鬼钱
'an'yong'sheng'er'shi'zhong'mou 安用生儿似仲谋
'an'yong'sheng'ming'ji 安用声名籍
'an'yong'xin'xiang'wei 安用馨香为
'an'yong'yan'sang'zuo'lao'weng 安用研桑作老翁
'an'you'qing'xiang'du 暗有清香度
'an'yu'fang'hu'lian 暗与方壶连
'an'yu'huai'huang 暗雨槐黄
'an'yun'zuo'ding'qiao'wu'lin 庵云作顶峭无邻
'an'yu'zhi'xiang'mi 安与之相靡
'an'zai'qi'bu'ru'ye 安在其不辱也
'an'zang'ren'xin 安藏人心
'an'ze'jiang'yu'jing 安择江与井
'an'zhang'san'qian'liu'bai'jun 广张三千六百钧
'an'zhen'de'zi'zhang 安贞德自彰
'an'zhi'bu'sheng'jin 安知不生今
'an'zhi'cai'zhuo'bei'jia'jian 安知采斫备嘉荐
'an'zhi'dan'you'hu'wang'nian 安知石友许忘年
'an'zhi'du'ling'xia 安知杜陵下
'an'zhi'fei'qun'xian 安知非群仙
'an'zhi'fei'ri'yue 安知非日月
'an'zhi'feng'he'jin'lai'bian 安知峰壑今来变
'an'zhi'fu'zi'zhi'you'ruo'shi'ye 安知夫子之犹若是也
'an'zhi'hong'dou'shi 安知鸿都事
'an'zhi'huo'yao'ke 安知获尧客
'an'zhi'ji'mo'xi'hai'tou 安知寂寞西海头
'an'zhi'jin'qian'bo'yuan'ren 暗掷金钱卜远人
'an'zhi'juan'you'zi 安知倦游子
'an'zhi'jun'cheng'ce 安知郡城侧
'an'zhi'long'niao'fan'long'mi 安知陇鸟樊笼密
'an'zhi'ming'bu'ming 安知名不名
'an'zhi'mu'cheng'que 安知慕城阙
'an'zhi'mu'chou'lv 安知慕俦侣
'an'zhi'qian'li'wai 安知千里外
'an'zhi'ru'bei'nian 安知汝辈年
'an'zhi'si'hai'xi'zao'chi 安知四海习凿齿
'an'zhi'si'shi'xu'fu'gui 安知四十虚富贵
'an'zhi'song'yu'zai'lin'qiang 安知宋玉在邻墙
'an'zhi'tian'shang'yang'xian'ding 安知天上养贤鼎
'an'zhi'tian'zi'zun 安知天子尊
'an'zhi'tuo'tie'ping'bu'po 安置妥帖平不颇
'an'zhi'wan'li'zheng 安知万里征
'an'zhi'wei'shang'sou 安知渭上叟
'an'zhi'wo'bu'zhi'yu'zhi'le 安知我不知鱼之乐
'an'zhi'wu'wei'gui 安知物为贵
'an'zhi'wu'yin'zhe 安知无隐者
'an'zhi'yao'shan'xue'hua'mei 暗指遥山学画眉
'an'zhi'you'qian'lao 安知有千老
'an'zhi'yu'zhi'le 安知鱼之乐
'an'zhi'zhong'chen'tong'zhi'gu 安知忠臣痛至骨
'an'zhi'zhong'wu'jiao'long'chong 安知中无蛟龙种
'an'zhong'chi'zhao'bu'jian'ying 暗中持照不见影
'an'zhong'jiao'wei'ci'fei'chong 暗中缴尾伺飞虫
'an'zhong'mo'suo'zong'fei'zhen 暗中摸索总非真
'an'zhong'tou'fu'qu 暗中偷负去
'an'zhong'tou'huan 暗中偷换
'an'zhong'zhu'wang'zhi 暗中蛛网织
'an'zhuai'fan'fei'ji 岸转帆飞疾
'an'zhuai'lu'tan'kuan 岸转绿潭宽
'an'zhu'han'cang'jiu 岸杼含苍捄
'an'zhu'lun'xiao'po 岸珠沦晓魄
'an'zhuo'xiang'si'jie 暗啄相思结
'an'zhu'qin'shan'jing 暗竹侵山径
'an'zuo'lian'qian'yu 暗作廉纤雨
'ao'ao'chen'yan'xiang 嗷嗷晨雁翔
'ao'ao'duo'yan'jing 嗷嗷度烟景
'ao'ao'lu'bang'zi 嗷嗷路傍子
'ao'ao'shen'bai'you 嗷嗷身百忧
'ao'hen'bi'lin 懊恨比邻
'ao'ji'dong'cheng'lei 翱集动成雷
'ao'jin'chuo'po'mu 鳌禁辍颇牧
'ao'lian'zuo'cun'si'nan'jue 拗莲作寸丝难绝
'ao'li'shen'xian'xiao'wu'hou 傲吏身闲笑五侯
'ao'ming'fei'ao'su 傲名非傲俗
'ao'nao'ren'xin'bu'ru'dan 懊恼人心不如石
'ao'qu'chen'fu'gui 奥区称富贵
'ao'ran'zi'qu'yu'wei'yi 傲然自取玉为衣
'ao'shan'song 鳌山耸
'ao'shi'shi'wei'jing 傲世似未敬
'ao'tou'xiao'cu'hang'chun'dui 遨头小簇行春队
'ao'tou'yao'ji'huan'hua'qian 遨头要及浣花前
'ao'wei'fei'xu'jiao 奥位匪虚校
'ao'wu'he'bin'ke 傲兀何宾客
'ao'wu'ze'gu'rou'wei'xing'lu 傲物则骨肉为行路
'ao'xiang'peng'hao'zhi'jian 翱翔蓬蒿之间
'ao'xiang'yi'wan'li 翱翔一万里
'ao'you'ba'ji 遨游八极
'ao'you'ba'shui'qu 遨游灞水曲
'ao'you'chong'sui'hua 遨游重岁华
'ao'you'qing'tian'zhong 遨游青天中
'ao'you'si'hai'qiu'qi'huang 遨游四海求其皇
'ao'you'xie'yan'ji 遨游携艳妓
'ao'you'zhong'wei'yi 遨游终未已
'ao'you'zhu'shang'chun 遨游逐上春
'ao'zhong'shen'zhi'chou 骜终身之丑
'ao'zhong'yu'su'run 坳中余宿润
'a'po'liu'shi'weng'qi'shi 阿婆六十翁七十
'a'rong'fan'ge'wan'shan'yun 阿戎翻隔万山云
'a'rong'xiu'yu'die 阿戎修玉牒
'a'ruo'jiao'chen'ru 阿若憍陈如
'a'shei'dao'ni'bu'si'liang 阿谁道你不思量
'a'shou'shi'mei'zhuang 呵手试梅妆
'a'xiong'dei'wen'zhi 阿兄得闻之
'a'xiong'liang'chi'qing'zhou'jie 阿兄两持庆州节
'a'ya'shou'zhi'suo'zi'shou 阿雅守之索自收
'a'zi'zui'chan'juan 阿姊最婵娟
'ba'ai'shi 八哀诗
'ba'an'chui'yang'su'de'xin 灞岸垂杨窣地新
'ba'an'yin'xing'zhou 灞岸引行舟
'ba'bai'lao'peng'jie'zhang'wan 八百老彭嗟杖晚
'ba'bai'li'fen'hui'xia'jiu 八百里分麾下灸
'ba'bai'li'fen'hui'xia'zhi 八百里分麾下炙
'ba'bai'yao'you'zhong 八百要有终
'ba'bao'zhuang 八宝妆
'ba'bei'dei'xiu'jia 罢惫得休假
'ba'ben'yao'yin'shu 八体曜银书
'ba'biao'wen'tong'gui 八表文同轨
'ba'biao'wu'shi'yue'sheng'qing 八表无事悦圣情
'ba'bi'dao'ren'jin'zai'fou 把臂道人今在否
'ba'bing'kong'nan'chou 罢病恐难瘳
'ba'bi'sui'wu'tuo 把臂虽无托
'ba'bi'you'da'guo 霸必有大国
'ba'bu'you'guang'hui 八部犹光辉
'ba'cai'liang'xian 八才两献
'ba'cai'xuan'sheng'mei'yu 八彩旋生眉宇
'ba'cao'gong'lai'wang 拔草共来往
'ba'chang'qian'yue 伯常骞曰
'ba'chan'yan'fen'xiang'wan'qing 灞浐烟氛向晚清
'ba'cheng'yu 灞城隅
'ba'cheng'zi'gao'ci'wei'zhu'hou'er'geng 伯成子高辞为诸侯而耕
'ba'cheng'zi'gao'li'wei'zhu'hou 伯成子高立为诸侯
'ba'chi'long'xu'fang'jin'ru 八尺龙须方锦褥
'ba'chi'shui'you'lu 灞池水犹绿
'ba'chi'ting'zhong'shi'long'ying 八尺庭中时弄影
'ba'chi'yao'xia'guo 灞池遥夏国
'ba'chi'ying'gong'yu'liao'xu 八尺英公欲燎须
'ba'chi'yi'xiang'song 灞池一相送
'ba'chuang'xin'shu'shu'lian'ge 八窗新树疏帘隔
'ba'chuan'yu'ma'kong'zhong'si 灞川玉马空中嘶
'ba'chu'fei'niao'shang 拔出飞鸟上
'ba'chu'gong'zhong'zhi'shu'er'wu'a'si 拔出公忠之属而无阿私
'ba'chun'bo'dou'niang'zuo 把春波都酿作
'ba'de'wu'xin'pu 拔得无心蒲
'ba'dian'you'ma'ju'kong'lao 巴滇有马驹空老
'ba'di'mo'chong'qing'zhang'li 拔地万重清嶂立
'ba'dong'chuan'fang'shang'ba'xi 巴东船舫上巴西
'ba'dong'shang'lv'gua'fan'duo 巴东商侣挂帆多
'ba'dong'you'wu'shan 巴东有巫山
'ba'dong'yu'wei'tian 八洞玉为天
'ba'dong'zhi'xia'sheng'ling'si 巴东之峡生凌凘
'ba'duan'hua'guang'shui'bu'tong 把断花光水不通
'ba'duan'huang'he'sai'yao'jin 把断黄河塞要津
'ba'dun'bu'neng'qiu 罢顿不能遒
'ba'fa'jiu'wen'zong'zhang'shi 八法旧闻宗长史
'ba'fang'fen'tun'ai'qin'chuan 八坊分屯隘秦川
'ba'fang'rong'zheng'dun 把芳容整顿
'ba'fang'zai'xuan'ting 八方在轩庭
'ba'feng'chui'bo'lao'bing'si 八风吹播老病死
'ba'feng'dong'yao'ren'bu'xian 八风动摇人不闲
'ba'feng'hang'dian'kai'xian'bang 八风行殿开仙榜
'ba'fu'sheng'juan'zuo'si'shi 八幅生绢作四时
'ba'ge'bu'ke'ting 巴歌不可听
'ba'geng 八庚
'ba'gong'ming 把攻名
'ba'gong'shei'yu'xiu 霸功谁与修
'ba'guan'hai'jiu'lu 罢官还旧庐
'ba'guan'qi'men'li 罢官七门里
'ba'guan'zuo'ri'jin'ru'he 罢官昨日今如何
'ba'gua'sui'wu'yi 八卦随舞意
'ba'gui'wu'jiu'ye 罢归无旧业
'ba'gui'you'you'zhi 罢归犹右职
'ba'guo'shan'chuan'jin 巴国山川尽
'ba'he'chuan'zhi'jie'shou'gang 八河船只皆收港
'ba'he'huan'cai'suo 把合欢彩索
'ba'huang'ping'wu'tu 八荒平物土
'ba'hun'wu'ren'yue 伯昏无人曰
'ba'hu'qi'cui 拔乎其萃
'bai'bai'bu'cheng 白白不成
'bai'bai'hong'hong'xiang'jian'kai 白白红红相间开
'bai'bai'qing'qing'liang'sheng'liu 白白青青两胜流
'bai'ban'shao'song'yan 白板烧松烟
'bai'bao'zhuang'dao'huan 百宝妆刀环
'bai'ben'guan'lai'shen'shi'huan 百体观来身是幻
'bai'bi'bai'qi'shou 百辟拜稽首
'bai'bi'chou'zhi'ji 白璧酬知己
'bai'bi'ci'yu'qing 白璧赐虞卿
'bai'bi'feng'sheng'shuang'zhu'zhi 败壁风生霜竹枝
'bai'bi'gu'jiao'qing 白璧故交轻
'bai'bi'ming'zhu'duo'an'jian 白璧明珠多按剑
'bai'bing'xian'si'dou 百饼衔私斗
'bai'bi'ni'yuan'chu 白璧疑冤楚
'bai'bi'qiu'chong'tan 败壁秋虫叹
'bai'bi'qi'zhi'quan'ke'wei 白笔岂知权可畏
'bai'bi'sui'cheng'yuan 白璧遂成冤
'bai'bi'tong'kang'le 百辟同康乐
'bai'bi'wei'xia 白壁微瑕
'bai'bi'xin'zhuang'kai'mao'qian 百辟心庄岂貌虔
'bai'bi'xuan'xiao 败壁悬校
'bai'bi'you'wei'xia 白璧有微瑕
'bai'bi'zeng'rang'cha 白璧赠穰苴
'bai'bo'jiu'dao'liu'xue'shan 白波九道流雪山
'bai'bo'lian'shan'dao'peng'hu 白波连山倒蓬壶
'bai'bo'qing'zhang'fei'ren'jian 白波青嶂非人间
'bai'bo're'shan 白波若山
'bai'bu'jian'ke'xi 百不见可喜
'bai'bu'jiu'zhe'ying'yan'luan 百步九折萦岩峦
'bai'bu'niu'yang'dan 百步牛羊膻
'bai'cai'jie'du 百材皆度
'bai'cang'chu'song'jie 白藏初送节
'bai'cao'fei'chou'kong'tan'gai 白草废畤空坛垓
'bai'cao'feng'mao 百草丰茂
'bai'cao'fu'tian'shi 百草覆田时
'bai'cao'huang'yu'liu'shi'qiu 白草黄榆六十秋
'bai'cao'hu'sha'xi'sai'qiu 白草胡沙西塞秋
'bai'cao'jing'chun'hua 百草竞春华
'bai'cao'lian'tian'she'yan'gui 白草连天射雁归
'bai'cao'lian'tian'ye'huo'shao 白草连天野火烧
'bai'cao'qian'hua'han'shi'lu 百草千花寒食路
'bai'cao'qian'hua'mo'bi'fang 百草千花莫比芳
'bai'cao'sai'chong'ming 百草塞虫鸣
'bai'ceng'fen'ao'guang 百层枌橑光
'bai'chai'po'jing'fen'fei 擘钗破镜分飞
'bai'chang'tian'ge'jiu'tong'ban 百常天阁旧通班
'bai'chao'yi'shu'zhi'ji'wu 百巢一树知几乌
'bai'cheng'cuo'die'qi'hao'li 百城蹉跌起毫厘
'bai'cheng'guan'li'jie'guang'hui 百城官吏借光辉
'bai'cheng'kai'yun'gua 百城岂云寡
'bai'cheng'ren'yi'lao 柏成人亦老
'bai'cheng'wu'shi'zhi'geng'sang 百城无事只耕桑
'bai'cheng'xian'zhi'you'qing'feng 百城先至有清风
'bai'cheng'yue'ren'ru'yue'ma 百城阅人如阅马
'bai'cheng'zhi'jia 百乘之家
'bai'cheng'zhi'jia'ye 百承之家也
'bai'chen'lang'zhong 拜臣郎中
'bai'chi'bang'wu'qi 百尺傍无枝
'bai'chi'bi'yun'lou 百尺碧云楼
'bai'chi'cang'ya'lie 百尺苍崖裂
'bai'chi'chong'cheng'ji 百尺重城际
'bai'chi'chuan'cheng'lian'ye'jing 百尺穿成连夜井
'bai'chi'chuang'gan'guo'dong'yao 百尺幢竿果动摇
'bai'chi'gan'tou'fang'bu'hang 百尺竿头放步行
'bai'chi'ha'xu'shang'yu'gou 百尺虾须上玉钩
'bai'chi'jin'ti'yi'yin'han 百尺金梯倚银汉
'bai'chi'lan'gan'heng'hai'li 百尺阑干横海立
'bai'chi'lou 百尺楼
'bai'chi'lou'gao'shui'jie'tian 百尺楼高水接天
'bai'chi'lou'tou'kan'wang'yuan 百尺楼头堪望远
'bai'chi'ming'fei'lan 百尺鸣飞澜
'bai'chi'qing'lou'ti 百尺青楼梯
'bai'chi'qing'quan'sheng'lu'xu 百尺清泉声陆续
'bai'chi'si'sheng'bi'de'xuan 百尺丝绳拂地悬
'bai'chi'tiao'yin'ge 百尺条阴合
'bai'chi'wu'cun'qi 百尺无寸枝
'bai'chi'xia'xu'zai'yu'gou 百尺虾须在玉钩
'bai'chi'zhu'lou'lin'da'dao 百尺朱楼临大道
'bai'chi'zhu'lou'xian'yi'bian 百尺朱楼闲倚遍
'bai'chong'dui'an'che'shen'xian 百重堆案掣身闲
'bai'chong'han'cui'se 百重含翠色
'bai'chong'yun'shui'ge'su'tai 百重云水隔苏台
'bai'chong'zhuan'ye'sai'gao'qiu 百虫专夜思高秋
'bai'chuan'dong'dao'hai 百川东到海
'bai'chuan'dong'dao'hai'he'shi'fu'xi'gui 百川东到海何时复西归
'bai'chuan'guan'he 百川灌河
'bai'chuan'huo'dui'mian 百川豁对面
'bai'chuan'pen'xue'gao'cui'wei 百川喷雪高崔嵬
'bai'chuan'ri'ye'shi 百川日夜逝
'bai'ci'gong'hu'yu'lu'xiang 拜赐宫壶雨露香
'bai'dai'feng'ming'zhu 百代逢明主
'bai'dai'zhi'guo'ke 百代之过客
'bai'dan'ben'he'shuo 白啖本河朔
'bai'dian'feng'wen'fei 柏殿奉文飞
'bai'dian'ji'lian'shi 柏殿几连诗
'bai'di'cheng'bian'gu'mu'shu 白帝城边古木疏
'bai'di'cheng'bian'zu'feng'bo 白帝城边足风波
'bai'di'cheng'gao'ji'mu'zhen 白帝城高急暮砧
'bai'di'cheng'tou'chun'cao'sheng 白帝城头春草生
'bai'di'cheng'tou'yue'xiang'xi 白帝城头月向西
'bai'di'cheng'xia'yu'fan'pen 白帝城下雨翻盆
'bai'di'cheng'zhong'yun'chu'men 白帝城中云出门
'bai'di'gao'wei'san'xia'zhen 白帝高为三峡镇
'bai'di'gao'xun'zui'qi'shi 白帝高寻最奇事
'bai'dong'pan'qi'zhong 百洞蟠其中
'bai'du'jie'zuo 百堵皆作
'bai'e'cun'dang'bie'liu'qun 白鹅存当鳖留裙
'bai'e'jie'zhang'bie'jie'jia 白鹅截掌鳖解甲
'bai'er'shou'zhi 拜而受之
'bai'er'suo'si 百尔所思
'bai'fa'bai'zhong'wu'xu'xian 百发百中无虚弦
'bai'fa'bei'hua'luo 白发悲花落
'bai'fa'bei'shang'chun 白发悲上春
'bai'fa'bu'kun'yi'bu'su 白发不髡亦不俗
'bai'fa'bu'ru'fang 白发不汝放
'bai'fa'bu'yi'qiong 白发不遗穷
'bai'fa'cang'ran'wu'lao'ren 白发苍髯五老人
'bai'fa'cang'yan'chong'dao'ci 白发苍颜重到此
'bai'fa'cang'yan'lue'xiang'si 白发苍颜略相似
'bai'fa'cang'yan'shui'ken'ji 白发苍颜谁肯记
'bai'fa'cang'yan'wu'shi'san 白发苍颜五十三
'bai'fa'cang'yan'xiao'wo'cao 白发苍颜笑我曹
'bai'fa'cang'yan'zi'zhao'pen 白发苍颜自照盆
'bai'fa'chang'xian'sui'yue'qin 白发长嫌岁月侵
'bai'fa'chong'lai'gu'ren'jin 白发重来故人尽
'bai'fa'chong'xiang'cui 白发重相催
'bai'fa'cui'cui'ji 白发催衰疾
'bai'fa'cui'nian'lao 白发催年老
'bai'fa'cui'yan'zhi'zi'jing 白发衰颜只自惊
'bai'fa'dai'chou'xin 白发带愁新
'bai'fa'dai'hua'jun'mo'xiao 白发戴花君莫笑
'bai'fa'dong'po'you'dao'lai 白发东坡又到来
'bai'fa'duo'wu'ye'cao'sheng 白发多於野草生
'bai'fa'fei'fei'xue'dian'ban 白发霏霏雪点斑
'bai'fa'fen'fen'ning'shao'jie 白发纷纷宁少借
'bai'fa'feng'chun'wei'you'shui 白发逢春唯有睡
'bai'fa'gui'lai'san'jing'huang 白发归来三径荒
'bai'fa'gui'xin'ping'shuo'yu 白发归心凭说与
'bai'fa'gu'jiao'kong'yan'juan 白发故交空掩卷
'bai'fa'gu'ying'shuai 白发故应衰
'bai'fa'he'zu'dao 白发何足道
'bai'fa'huang'hua'ying'jiao'jin 白发黄花映角巾
'bai'fa'jing'qiu'jian'zai'shen 白发惊秋见在身
'bai'fa'jin'ru'ci 白发今如此
'bai'fa'kong'chui'san'qian'zhang 白发空垂三千丈
'bai'fa'kong'sui'shi'shi'xin 白发空随世事新
'bai'fa'lang'qian'jiu'shi'jun 白发郎潜旧使君
'bai'fa'lian'cang'ran 白发连苍髯
'bai'fa'lian'jun'lue'xiang'si 白发怜君略相似
'bai'fa'ling'nan'sheng 白发岭南生
'bai'fa'liu'lang'gu'fu 白发刘郎孤负
'bai'fa'long'tou'xin 白发陇头新
'bai'fa'men'sheng'ji'ren'zai 白发门生几人在
'bai'fan'ceng'zuo'bai'jin'shou 百番曾作百金收
'bai'fa'nian'lai'jian'bu'gong 白发年来渐不公
'bai'fa'piao'xiao'yi'bing'weng 白发飘萧一病翁
'bai'fa'qian'zhang'wo'cang'lang 白发千丈渥沧浪
'bai'fa'qing'shan'tian'suo'xie 白发青衫天所械
'bai'fa'qing'shan'wo'yi'ge 白发青衫我亦歌
'bai'fa'qi'pin'jian 白发欺贫贱
'bai'fa'qi'ren'zuo'lao'weng 白发欺人作老翁
'bai'fa'qi'sheng'ru'you'zhong 白发齐生如有种
'bai'fa'qiu'lai'yi'shang'zan 白发秋来已上簪
'bai'fa'qi'zan'xiu'cai'sheng 白发欹簪羞彩胜
'bai'fa'ri'ye'cui 白发日夜催
'bai'fa'ri'ye'xin 白发日夜新
'bai'fa'ru'si'tan'he'yi 白发如丝叹何益
'bai'fa'san'qian'zhang 白发三千丈
'bai'fa'sheng'lai'jing'ke'bin 白发生来惊客鬓
'bai'fa'sheng'luo'wei 白发生罗帷
'bai'fa'shen'wei'fan'bu'wu 白发身为反哺乌
'bai'fa'shui'jia'weng'ao 白发谁家翁媪
'bai'fa'shu'sheng'shen'zhou'lei 白发书生神州泪
'bai'fa'shu'sheng'xi'wu'mei 白发书生喜无寐
'bai'fa'si'lao'ren 白发四老人
'bai'fa'sui'nian'gai 白发随年改
'bai'fa'ta'shi'bu'fang'jun 白发他时不放君
'bai'fa'wei'cao'nai'wan'gong 白发尉曹能挽弓
'bai'fa'wei'cheng'gui'yin'ji 白发未成归隐计
'bai'fa'wei'gan'xiang'xun'qiu 白发未敢相寻求
'bai'fa'wu'hao'yao'sui'liu 百发乌号遥碎柳
'bai'fa'wu'liao'bing'geng'qin 白发无聊病更侵
